Date,NASDAQ,SP500,Gold,CSI_Dividend
1990-01-31,415.8000,329.0800,,
1990-02-28,425.8000,331.8900,,
1990-03-31,435.5000,339.9400,,
1990-04-30,420.1000,330.8000,,
1990-05-31,459.0000,361.2300,,
1990-06-30,462.3000,358.0200,,
1990-07-31,438.2000,356.1500,,
1990-08-31,381.2000,322.5600,,
1990-09-30,344.5000,306.0500,,
1990-10-31,329.8000,304.0000,,
1990-11-30,359.1000,322.2200,,
1990-12-31,373.8000,330.2200,,
1991-01-31,414.2000,343.9300,,
1991-02-28,453.1000,367.0700,,
1991-03-31,482.3000,375.2200,,
1991-04-30,484.7200,375.3400,,
1991-05-31,506.1100,389.8300,,
1991-06-30,475.9200,371.1600,,
1991-07-31,502.0400,387.8100,,
1991-08-31,525.6800,395.4300,,
1991-09-30,526.8800,387.8600,,
1991-10-31,542.9800,392.4500,,
1991-11-30,523.9000,375.2200,,
1991-12-31,586.3400,417.0900,,
1992-01-31,620.2100,408.7800,,
1992-02-29,633.4700,412.7000,,
1992-03-31,603.7700,403.6900,,
1992-04-30,578.6800,414.9500,,
1992-05-31,585.3100,415.3500,,
1992-06-30,563.6000,408.1400,,
1992-07-31,580.8300,424.2100,,
1992-08-31,563.1200,414.0300,,
1992-09-30,583.2700,417.8000,,
1992-10-31,605.1700,418.6800,,
1992-11-30,652.7300,431.3500,,
1992-12-31,676.9500,435.7100,,
1993-01-31,696.3400,438.7800,,
1993-02-28,670.7700,443.3800,,
1993-03-31,690.1300,451.6700,,
1993-04-30,661.4200,440.1900,,
1993-05-31,700.5300,450.1900,,
1993-06-30,703.9500,450.5300,,
1993-07-31,704.7000,448.1300,,
1993-08-31,742.8400,463.5600,,
1993-09-30,762.7800,458.9300,,
1993-10-31,779.2600,467.8300,,
1993-11-30,754.3900,461.7900,,
1993-12-31,776.8000,466.4500,,
1994-01-31,800.4700,481.6100,,
1994-02-28,792.5000,467.1400,,
1994-03-31,743.4600,445.7700,,
1994-04-30,733.8400,450.9100,,
1994-05-31,735.1900,456.5000,,
1994-06-30,705.9600,444.2700,,
1994-07-31,722.1600,458.2600,,
1994-08-31,765.6200,475.4900,,
1994-09-30,764.2900,462.7100,,
1994-10-31,777.4900,472.3500,,
1994-11-30,750.3200,453.6900,,
1994-12-31,751.9600,459.2700,,
1995-01-31,755.2000,470.4200,,
1995-02-28,793.7300,487.3900,,
1995-03-31,817.2100,500.7100,,
1995-04-30,843.9800,514.7100,,
1995-05-31,864.5800,533.4000,,
1995-06-30,933.4500,544.7500,,
1995-07-31,1001.2100,562.0600,,
1995-08-31,1020.1100,561.8800,,
1995-09-30,1043.5400,584.4100,,
1995-10-31,1036.0601,581.5000,,
1995-11-30,1059.2000,605.3700,,
1995-12-31,1052.1300,615.9300,,
1996-01-31,1059.7900,636.0200,,
1996-02-29,1100.0500,640.4300,,
1996-03-31,1101.4000,645.5000,,
1996-04-30,1190.5200,654.1700,,
1996-05-31,1243.4301,669.1200,,
1996-06-30,1185.0200,670.6300,,
1996-07-31,1080.5900,639.9500,,
1996-08-31,1141.5000,651.9900,,
1996-09-30,1226.9200,687.3300,,
1996-10-31,1221.5100,705.2700,,
1996-11-30,1292.6100,757.0200,,
1996-12-31,1291.0300,740.7400,,
1997-01-31,1379.8500,786.1600,,
1997-02-28,1309.0000,790.8200,,
1997-03-31,1221.7000,757.1200,,
1997-04-30,1260.7600,801.3400,,
1997-05-31,1400.3199,848.2800,,
1997-06-30,1442.0699,885.1400,,
1997-07-31,1593.8101,954.3100,,
1997-08-31,1587.3199,899.4700,,
1997-09-30,1685.6899,947.2800,,
1997-10-31,1593.6100,914.6200,,
1997-11-30,1600.5500,955.4000,,
